Step,KineticEnergy
4140,3.2118
4150,3.2269
4160,3.23665
4170,3.24187
4180,3.24459
4190,3.24867
4200,3.25471
4210,3.26373
4220,3.27506
4230,3.28779
4240,3.30028
4250,3.30914
4260,3.31175
4270,3.3105
4280,3.30448
4290,3.29244
4300,3.27486
4310,3.25233
4320,3.22608
4330,3.19843
4340,3.17201
4350,3.14695
4360,3.12383
4370,3.10443
4380,3.09086
4390,3.08268
4400,3.07832
4410,3.07542
4420,3.07351
4430,3.07394
4440,3.07824
4450,3.08775
4460,3.09988
4470,3.11827
4480,3.13983
4490,3.16338
4500,3.18688
4510,3.2065
4520,3.22189
4530,3.23165
4540,3.23426
4550,3.23059
4560,3.22127
4570,3.20787
4580,3.19221
4590,3.17502
4600,3.15651
4610,3.13733
4620,3.11749
4630,3.09816
4640,3.07943
4650,3.06253
4660,3.04922
4670,3.03801
4680,3.02787
4690,3.0188
4700,3.01105
4710,3.00423
4720,2.99883
4730,2.99619
4740,2.99685
4750,2.99955
4760,3.00392
4770,3.01053
4780,3.01955
4790,3.03098
4800,3.04346
4810,3.05577
4820,3.06743
4830,3.07845
4840,3.08723
4850,3.0918
4860,3.09201
4870,3.08983
4880,3.08618
4890,3.08487
4900,3.08545
4910,3.08663
4920,3.08789
4930,3.08894
4940,3.08973
4950,3.09474
4960,3.10015
4970,3.1029
4980,3.10162
4990,3.09695
5000,3.08961
5010,3.07963
5020,3.06765
5030,3.05371
5040,3.03725
5050,3.0182
5060,2.99723
5070,2.97585
5080,2.95539
5090,2.93752
5100,2.92422
5110,2.91685
5120,2.91588
5130,2.92068
5140,2.93164
5150,2.94864
5160,2.97036
5170,2.99357
5180,3.0143
5190,3.02867
5200,3.03492
5210,3.0324
5220,3.02228
5230,3.00726
5240,2.98955
5250,2.97081
5260,2.95214
5270,2.9356
5280,2.92156
5290,2.90593
5300,2.89446
5310,2.88531
5320,2.87916
5330,2.87364
5340,2.86909
5350,2.86477
5360,2.85877
5370,2.84792
5380,2.83283
5390,2.81497
5400,2.79654
5410,2.77943
5420,2.76424
5430,2.75121
5440,2.73985
5450,2.72917
5460,2.71917
5470,2.70964
5480,2.70104
5490,2.6942
5500,2.69009
5510,2.68994
5520,2.6947
5530,2.70415
5540,2.71772
5550,2.73477
5560,2.75482
5570,2.77863
5580,2.80373
5590,2.82933
5600,2.8536
5610,2.87511
5620,2.89358
5630,2.90901
5640,2.92091
5650,2.92936
5660,2.93172
5670,2.92673
5680,2.91353
5690,2.89433
5700,2.8709
5710,2.8447
5720,2.81768
5730,2.79255
5740,2.77162
5750,2.75572
5760,2.74438
5770,2.73759
5780,2.73487
5790,2.73531
5800,2.73791
5810,2.74183
5820,2.74642
5830,2.75201
5840,2.75703
5850,2.75967
5860,2.75956
5870,2.75682
5880,2.75204
5890,2.74553
5900,2.73694
5910,2.72541
5920,2.71076
5930,2.69438
5940,2.67838
5950,2.66507
5960,2.6563
5970,2.65274
5980,2.6552
5990,2.6631
6000,2.67606
6010,2.6923
6020,2.70956
6030,2.72669
6040,2.74297
6050,2.75719
6060,2.76511
6070,2.76747
6080,2.76574
6090,2.76323
6100,2.76249
6110,2.76453
6120,2.76629
6130,2.76552
6140,2.76247
6150,2.757
6160,2.7502
6170,2.74386
6180,2.73903
6190,2.73599
6200,2.7346
6210,2.73539
6220,2.7387
6230,2.74459
6240,2.75264
6250,2.76257
6260,2.77376
6270,2.78592
6280,2.79831
6290,2.81024
6300,2.81967
6310,2.82456
6320,2.82451
6330,2.82001
6340,2.81093
6350,2.79823
6360,2.78384
6370,2.76918
6380,2.75449
6390,2.74089
6400,2.72974
6410,2.72222
6420,2.71781
6430,2.7154
6440,2.71492
6450,2.71564
6460,2.71568
6470,2.71517
6480,2.71466
6490,2.71686
6500,2.72304
6510,2.73288
6520,2.74519
6530,2.75954
6540,2.77587
